Year,leg_id,type,bill,name,last
2012,MOL000094,primary,HB 1909,Hoskins, Denny
2012,MOL000009,primary,SB 689,Engler,
2012,MOL000032,primary,SB 480,Stouffer,
2012,MOL000005,primary,SB 485,Cunningham,
2012,MOL000021,primary,SB 489,Munzlinger,
2012,MOL000030,primary,SB 599,Schaefer,
2012,MOL000014,primary,SB 625,Kehoe,
2012,MOL000032,primary,SB 665,Stouffer,
2012,MOL000030,primary,SB 729,Schaefer,
2012,MOL000019,primary,SB 755,Mayer,
2012,MOL000015,primary,SB 769,Kraus,
2012,MOL000076,primary,HB 1029,Flanigan, Tom
2012,MOL000069,primary,HB 1106,Dugger, Tony
2012,MOL000171,primary,HB 1150,Smith, Jason
2012,MOL000054,primary,HB 1231,Cauthorn, John
2012,MOL000156,primary,HB 1251,Ruzicka, Don
2012,MOL000111,primary,HB 1280,Korman, Bart
2012,MOL000044,primary,HB 1323,Black, Linda
2012,MOL000152,primary,HB 1400,Richardson, Todd
2012,MOL000050,primary,HB 1402,Burlison, Eric
2012,MOL000095,primary,HB 1498,Hough, Lincoln
2012,MOL000152,primary,HB 1504,Richardson, Todd
2012,MOL000102,primary,HB 1540,Jones, Timothy
2012,MOL000041,primary,HB 1644,Barnes, Jay
2012,MOL000153,primary,HB 1647,Riddle, Jeanie
2012,MOL000037,primary,HB 1820,Asbury, Randy
2012,MOL000152,primary,HB 1827,Richardson, Todd
2012,MOL000018,primary,SB 611,Lembke,
2012,MOL000023,primary,SB 631,Parson,
2012,MOL000015,primary,SB 789,Kraus,
2012,MOL000079,primary,HB 1171,Franz, Ward
2012,MOL000071,primary,HB 1527,Elmer, Kevin
2012,MOL000182,primary,HB 1659,Torpey, Noel
2012,MOL000009,primary,SB 736,Engler,
2012,MOL000069,primary,HB 1037,Dugger, Tony
2012,MOL000118,primary,HB 1108,Lauer, Jeanie
2012,MOL000084,primary,HB 1112,Gosen, Don
2012,MOL000116,primary,HB 1128,Largent, Scott
2012,MOL000083,primary,HB 1141,Gatschenberger, Chuck
2012,MOL000072,primary,HB 1236,Entlicher, Sue
2012,MOL000126,primary,HB 1315,McCaherty, John
2012,MOL000069,primary,HB 1340,Dugger, Tony
2012,MOL000124,primary,HB 1424,Marshall, Nick
2012,MOL000081,primary,HB 1525,Fuhr, Gary
2012,MOL000124,primary,HB 1807,Marshall, Nick
2012,MOL000008,primary,SB 562,Dixon,
2012,MOL000008,primary,SB 563,Dixon,
2012,MOL000015,primary,SB 595,Kraus,
2012,MOL000190,primary,HB 1094,Wieland, Paul
2012,MOL000074,primary,HB 1131,Fisher, Barney
2012,MOL000035,primary,HB 1188,Allen, Sue
2012,MOL000153,primary,HB 1318,Riddle, Jeanie
2012,MOL000054,primary,HB 1462,Cauthorn, John
2012,MOL000158,primary,HB 1818,Schad, Rodney
2012,MOL000064,primary,HB 1680,Davis, Charlie
2012,MOL000032,primary,SB 576,Stouffer,
2012,MOL000071,primary,HB 1219,Elmer, Kevin
2012,MOL000094,primary,HB 1661,Hoskins, Denny
2012,MOL000158,primary,HB 1789,Schad, Rodney
2012,MOL000079,primary,HB 1172,Franz, Ward
2012,MOL000116,primary,HB 1576,Largent, Scott
2012,MOL000116,primary,HB 1577,Largent, Scott
2012,MOL000169,primary,HB 2001,Silvey, Ryan
2012,MOL000169,primary,HB 2003,Silvey, Ryan
2012,MOL000169,primary,HB 2004,Silvey, Ryan
2012,MOL000169,primary,HB 2005,Silvey, Ryan
2012,MOL000169,primary,HB 2006,Silvey, Ryan
2012,MOL000169,primary,HB 2007,Silvey, Ryan
2012,MOL000169,primary,HB 2008,Silvey, Ryan
2012,MOL000169,primary,HB 2009,Silvey, Ryan
2012,MOL000169,primary,HB 2011,Silvey, Ryan
2012,MOL000169,primary,HB 2012,Silvey, Ryan
2012,MOL000169,primary,HB 2013,Silvey, Ryan
2012,MOL000169,primary,HB 2010,Silvey, Ryan
2012,MOL000150,primary,HB 1900,Redmon, Craig
2012,MOL000007,primary,SB 682,Dempsey,
2012,MOL000120,primary,HB 1039,Leara, Mike
2012,MOL000088,primary,HB 1179,Hampton, Kent
2012,MOL000169,primary,HB 2002,Silvey, Ryan
2012,MOL000152,primary,HB 1549,Richardson, Todd
2012,MOL000014,primary,SB 835,Kehoe,
2012,MOL000180,primary,HB 1042,Thomson, Mike
2012,MOL000021,primary,SB 498,Munzlinger,
2012,MOL000065,primary,HB 1731,Day, David
2012,MOL000169,primary,HB 2014,Silvey, Ryan
2012,MOL000028,primary,SB 450,Rupp,
